epoca	fold	error[prom MSE]	tiempo[s]
11	1	0.35541839234296	129701
11	2	0.34888502787966	130983
11	3	0.3482273889632	132283
11	4	0.35207540759964	133538
11	5	0.35364726569722	134799
11	6	0.34973456133304	136088
11	7	0.3622883401543	137350
11	8	0.35138017838062	138606
11	9	0.35318815496819	139897
11	10	0.35679797305067	141153
12	1	0.34873716473542	142413
12	2	0.36114427544325	143671
12	3	0.35163433562768	144960
12	4	0.35023736240534	146220
12	5	0.35530347192295	147474
12	6	0.34560654190858	148727
12	7	0.3453219686741	150009
12	8	0.3500471798272	151271
12	9	0.34921546219872	152527
12	10	0.34962138970551	153792
13	1	0.34645331917772	155062
13	2	0.34926702938475	156346
13	3	0.34477551510989	157602
13	4	0.35291320429609	158857
13	5	0.34831356409911	160138
13	6	0.34833636163097	161395
13	7	0.34798762389207	162660
13	8	0.35919887162195	163918
13	9	0.34741545291911	165189
13	10	0.34340179308757	166460
14	1	0.35145840249051	167717
14	2	0.34761927944149	168976
14	3	0.34767615220864	170231
14	4	0.34651177509963	171490
14	5	0.34637385245677	172776
14	6	0.34626877129451	174043
14	7	0.35866031229966	175304
14	8	0.34251434648773	176564
14	9	0.34388130008347	177848
14	10	0.34346982400819	179098
15	1	0.35816714743781	180359
15	2	0.34356460922247	181624
15	3	0.34342210660621	182902
15	4	0.34206146241991	184157
15	5	0.34714350215857	185412
15	6	0.34472774538971	186677
15	7	0.34456247673865	187942
15	8	0.34442421792701	189226
15	9	0.3490230034579	190480
15	10	0.34718201980963	191740
16	1	0.3583289528088	193004
16	2	0.34290949927158	194269
16	3	0.3438935417656	195556
16	4	0.34738574310132	196815
16	5	0.34732294198218	198074
16	6	0.34864095202024	199330
16	7	0.3437141294803	200619
16	8	0.3436281544995	201884
16	9	0.34389275130099	203138
16	10	0.34185411238259	204446
17	1	0.3585345484165	205709
17	2	0.34325581920724	206973
17	3	0.34798705334497	208253
17	4	0.34343286804392	209517
17	5	0.34339553900718	210782
17	6	0.34803829975905	212037
17	7	0.34839524993802	213322
17	8	0.34465333836646	214598
17	9	0.34216600034732	215859
17	10	0.34286087765716	217118
18	1	0.34305812065303	218405
18	2	0.34322770727298	219673
18	3	0.34514222750613	220925
18	4	0.34297482617376	222234
18	5	0.3424905961098	223495
18	6	0.34933447344963	224751
18	7	0.36012063426426	226034
18	8	0.34960503431007	227291
18	9	0.34852750535165	228548
18	10	0.34340493397616	229837
19	1	0.34336475566533	231101
19	2	0.34300628402652	232358
19	3	0.36044271437898	233619
19	4	0.34350247619424	234889
19	5	0.3433430972908	236175
19	6	0.35089394835383	237431
19	7	0.34883826288786	238689
19	8	0.34715360596678	239939
19	9	0.34376756295454	241202
19	10	0.35139479855472	242483
20	1	0.36253293670996	243745
20	2	0.34372831831639	245005
20	3	0.34929019634061	246262
20	4	0.35227416960858	247543
20	5	0.34823612003634	248793
20	6	0.34455140369199	250053
20	7	0.34429070408944	251318
20	8	0.34466061394031	252605
20	9	0.34432939845805	253867
20	10	0.35302823136175	255125
21	1	0.36403143797162	256412
21	2	0.3452527989938	257672
21	3	0.34460799389643	258933
21	4	0.34520975244717	260197
21	5	0.35396469135785	261479
21	6	0.34464863066981	262741
21	7	0.35034178447901	263998
21	8	0.35442651502833	265255
21	9	0.3502602076765	266522
21	10	0.34537829528798	267794
22	1	0.35500831675874	269057
22	2	0.35082807121727	270310
22	3	0.34569190984511	271601
22	4	0.34655442533711	272858
22	5	0.36579179142171	274115
22	6	0.35113768895922	275374
22	7	0.34552686706881	276663
22	8	0.34546240525909	277925
22	9	0.34653058168118	279192
22	10	0.35624365110349	280461
23	1	0.35651636887467	281732
23	2	0.34734390345049	282990
23	3	0.34684797262117	284257
23	4	0.35683235017744	285539
23	5	0.34648523981614	286805
23	6	0.35253050772225	288057
23	7	0.35209067093252	289311
23	8	0.34624470071911	290599
23	9	0.36748361708964	291860
23	10	0.34631800180619	293126
24	1	0.35783486044018	294379
24	2	0.35330211977555	295630
24	3	0.34763181402934	296918
24	4	0.3582521624767	298174
24	5	0.34852925312447	299434
24	6	0.35255298768768	300753
24	7	0.34676476289479	302104
24	8	0.34724108418947	303436
24	9	0.36858559462179	304766
24	10	0.34692422821545	306118
25	1	0.34817820810007	307494
25	2	0.35907988112716	308820
25	3	0.34903429354174	310147
25	4	0.35298448620343	311474
25	5	0.36872515088807	312733
25	6	0.35981125872332	313993
25	7	0.35465188979896	315245
25	8	0.34793586796201	316536
